uid,lang,domain,source,cluster,state,chars,band,cld3,langid,reader1,reader2,confirmed,both_confirmed,historical_v3,panel_text_match,source_file,source_record,text_sha256
6,ne,formal_written,wikipedia,w3899,,401,400+,ne,ne,Nepali,,true,false,npi_Deva,false,wikipedia_ne_extracts.json,doc:6,bce270cfcc689b75c0bc6921ab3ad12fa78360a6f378810b324d57933723528e
5398,hi,extempore,indicvoices,S4259989700318453,Uttar Pradesh,130,100-199,hi,hi,Hindi,,true,false,hin_Deva,false,indicvoices_rows.json,row:hindi:631,667f30b17dfb5ff49eafa09da85b147aa1aaaca4ddefeef367bafb132d43ee83
7171,hi,formal_written_sentence,wikipedia_sentence,w54789,,109,100-199,hi,hi,Hindi,,true,false,anp_Deva,false,wikipedia_hi_extracts.json,doc:61:sentence:4,7f82ed751d191d7eadbfd56fcb13c01ef78f3a2ea5d031b03744ae785e03e05b
1212,hi,formal_written,wikipedia,w1398630,,737,400+,hi,hi,Hindi,Hindi,true,true,anp_Deva,false,wikipedia_hi_extracts.json,doc:527,c3683be169c670932c127a40ebbdfd881cdc41aac4d2f93f94e4138280ddfd00
5788,hi,conversation,indicvoices,S4257809700345756,Bihar,198,100-199,hi,hi,Hindi,,true,false,hin_Deva,false,indicvoices_rows.json,row:hindi:1021,68712796981747b36a851a2cd779d65b5bb6b8538988376d244d656dbd129124
3832,ne,extempore,indicvoices,S4257010100302989,Assam,161,100-199,ne,ne,Nepali,,true,false,npi_Deva,false,indicvoices_rows.json,row:nepali:865,8821fb86e92473762c2738ed82cf811b8f20e77b72de9b8013c729ad2df50712
1821,ne,read_speech_fleurs,fleurs,f1695ne,,123,100-199,ne,ne,Nepali,Nepali,true,true,npi_Deva,false,fleurs_ne_transcripts.json,doc:542,fdd329ba2c7303e3c55202a21c6dedd8d50b7414d55faeff72240a0a635aaf58
796,hi,formal_written,wikipedia,w188539,,266,200-399,hi,hi,Hindi,,true,false,hin_Deva,false,wikipedia_hi_extracts.json,doc:147,8971a05e03b1861c5494d8b9343b1d76de7feec7c1bd86cf8545fdf6de5a75bb
6636,ne,formal_written_sentence,wikipedia_sentence,w122645,,138,100-199,ne,ne,Nepali,,true,false,npi_Deva,false,wikipedia_ne_extracts.json,doc:521:sentence:1,916ae107681ee74ecc037bfa53ad67afed5325837d7d2f1804a57d7c88b9d121
3623,ne,extempore,indicvoices,S4259046100311619,Assam,281,200-399,ne,ne,Nepali,Nepali,true,true,npi_Deva,false,indicvoices_rows.json,row:nepali:656,65216b4ea7e912267eacde214222009162e3ec4d4d1a0fb223fa219acdccb9ea
5523,hi,extempore,indicvoices,S4257002000383957,Madhya Pradesh,108,100-199,mr,mr,Nepali,,false,false,mai_Deva,false,indicvoices_rows.json,row:hindi:756,78157a8bbfd3cbcc602459e6269362928db9bddb8b420f264091fb7f65fd8028
362,ne,formal_written,wikipedia,w84187,,997,400+,ne,ne,Nepali,,true,false,npi_Deva,false,wikipedia_ne_extracts.json,doc:366,2cea41c2f23c2a9076076501e5740e62324decaa0c19d27bf8df15e78319f679
5668,hi,conversation,indicvoices,S4259294700318500,Bihar,102,100-199,hi,hi,Hindi,,true,false,hin_Deva,false,indicvoices_rows.json,row:hindi:901,9bd4f9f5178496d9c8a9a4315f1858ec01ea0f5ceb0a663d4157cd99b6e856d1
2972,ne,read_speech_iv,indicvoices,S4257025400301875,West Bengal,99,40-99,ne,ne,Nepali,,true,false,npi_Deva,false,indicvoices_rows.json,row:nepali:5,b26b3bc9d16db149e561d1a6e12be4a84070af33d44fb0160c2232d9b4daba22
6487,hi,read_speech_iv,indicvoices,S4256620200321858,Madhya Pradesh,73,40-99,hi,hi,Hindi,,true,false,hin_Deva,false,indicvoices_rows.json,row:hindi:1720,14410ae1f9f350521bac92bdeb44b9daf7e003a3fcd0d6ccb21940b8d7b82fee
5721,hi,conversation,indicvoices,S4257593400361922,Uttar Pradesh,122,100-199,hi,hi,Hindi,,true,false,hin_Deva,false,indicvoices_rows.json,row:hindi:954,82c2a70b238d3b90da21027ac13b802f340bcd4a9f7a4a4b7edd48e6cb74e78e
6299,hi,read_speech_iv,indicvoices,S4259556500311915,Uttar Pradesh,145,100-199,hi,hi,Hindi,,true,false,hin_Deva,false,indicvoices_rows.json,row:hindi:1532,b0abf05a7d1a7391b4f38ff702695826c1e3ee41a98e7f350ee3a2a3711dfd2c
6084,hi,conversation,indicvoices,S4259295600386560,Madhya Pradesh,176,100-199,hi,hi,Hindi,,true,false,hin_Deva,false,indicvoices_rows.json,row:hindi:1317,228830e7dcc7e907780c1fc7bbb0a02c8ed50799841bc2f788b2662140f18cba
7199,hi,formal_written_sentence,wikipedia_sentence,w572561,,92,40-99,hi,hi,Both or code-switched,,false,false,hin_Deva,false,wikipedia_hi_extracts.json,doc:280:sentence:4,0dd393a03e698e32c2635f18b961703f30961b08bdc59e67638bd3cd28488baf
7717,hi,formal_written_sentence,wikipedia_sentence,w7519,,103,100-199,hi,hi,Hindi,Nepali,true,false,anp_Deva,false,wikipedia_hi_extracts.json,doc:6:sentence:8,978e6aab4b0ad842615368ca45f4a1d3982d2d92f8a59d217468f23c8c4ee718
1731,ne,read_speech_fleurs,fleurs,f1674ne,,77,40-99,ne,ne,Nepali,,true,false,npi_Deva,false,fleurs_ne_transcripts.json,doc:451,3bc3f6e3ddb5c4c44f30114f490337a97047e173ebe8b2b2b70cb63be3840782
5194,hi,extempore,indicvoices,S4259226600368205,Uttar Pradesh,126,100-199,hi,hi,Hindi,,true,false,hin_Deva,false,indicvoices_rows.json,row:hindi:427,8bb6ae7066fdd851d9361fea286506dee80b18f8d1199ae63dc09bd4e6e8f3b6
4997,hi,extempore,indicvoices,S4259764300304518,Madhya Pradesh,162,100-199,hi,hi,Hindi,,true,false,hin_Deva,false,indicvoices_rows.json,row:hindi:230,26e7e374abf2e80c17848a1374e5c7f1539a7df2d1785bce4168dc43d6113819
2517,hi,read_speech_fleurs,fleurs,f1560hi,,83,40-99,hi,hi,Hindi,,true,false,hin_Deva,false,fleurs_hi_transcripts.json,doc:206,266340424d892c57c33ee24a167591c5fe75f323ccc22fe00a4c3ca37dec5de9
5451,hi,extempore,indicvoices,S4259918700378788,Bihar,101,100-199,hi,hi,Hindi,Hindi,true,true,hin_Deva,false,indicvoices_rows.json,row:hindi:684,78dc90c88fe2eb800caac579bf4e6c13a8c4cfe257e6223f107a0fae3ead1f13
3946,ne,read_speech_iv,indicvoices,S4259690300384745,Assam,155,100-199,ne,ne,Nepali,,true,false,npi_Deva,false,indicvoices_rows.json,row:nepali:979,7b9c331974b200373dae1042661bed92e88500ed6d69ccbedcd5a119d490c9e4
7495,hi,formal_written_sentence,wikipedia_sentence,w38603,,119,100-199,hi,hi,Hindi,Both or code-switched,true,false,hin_Deva,false,wikipedia_hi_extracts.json,doc:46:sentence:10,eb69085404088730883e3d88b0ab28b28af23a2208a63245e40f51f638ef828f
187,ne,formal_written,wikipedia,w32833,,415,400+,ne,ne,Nepali,,true,false,npi_Deva,false,wikipedia_ne_extracts.json,doc:189,d47c5d834febc4027cd6514630b8caaf49c3faa970690fed8cae7f4454e3233f
3035,ne,extempore,indicvoices,S4256534700331405,Assam,133,100-199,ne,ne,Nepali,,true,false,npi_Deva,false,indicvoices_rows.json,row:nepali:68,d5f2fc285099b9bc4f6976e34858f0078fec8b45c993d5778f1f97cd0556906c
1783,ne,read_speech_fleurs,fleurs,f1917ne,,107,100-199,ne,ne,Nepali,,true,false,npi_Deva,false,fleurs_ne_transcripts.json,doc:504,ad23fdf9c7ac7329d199f262b9225b4fdeacdd99aa9b7eefd36b3938de1ba556
6771,ne,formal_written_sentence,wikipedia_sentence,w29764,,142,100-199,ne,ne,Nepali,,true,false,npi_Deva,false,wikipedia_ne_extracts.json,doc:151:sentence:1,fe05d4da7ca98278d425936febddeb9ad03cdac30609744a859c95646026d0d7
126,ne,formal_written,wikipedia,w26995,,333,200-399,ne,ne,Nepali,,true,false,npi_Deva,false,wikipedia_ne_extracts.json,doc:128,7883109af806ea3d602f0322a482ccfb88bbd1a26c6992917d98f979cb2e3160
2786,hi,read_speech_fleurs,fleurs,f1853hi,,102,100-199,hi,hi,Hindi,,true,false,anp_Deva,false,fleurs_hi_transcripts.json,doc:475,8de7fb8a08654cb6d2d5c42cad8fd0dc55039ebab1f3394802ab547b12de5500
117,ne,formal_written,wikipedia,w26250,,404,400+,ne,ne,Nepali,Nepali,true,true,npi_Deva,false,wikipedia_ne_extracts.json,doc:119,d97fe2df8fd5af246c7eca1d59b60d1955d20a77a06cfdc03da64b3b6c9f9476
3203,ne,extempore,indicvoices,S4259540800384019,Assam,109,100-199,ne,ne,Nepali,,true,false,npi_Deva,false,indicvoices_rows.json,row:nepali:236,8e26b6e6f33b4121bba381181370e63067b69ac0ec317d3c6c2758d608f42b67
1059,hi,formal_written,wikipedia,w832135,,131,100-199,hi,hi,Hindi,Hindi,true,true,anp_Deva,false,wikipedia_hi_extracts.json,doc:390,9dd27faca4d85192c3ebcce903336593b3f75f119ecdb7d49394a9e9732f0ada
3907,ne,read_speech_iv,indicvoices,S4256991900327142,West Bengal,90,40-99,ne,ne,Nepali,,true,false,npi_Deva,false,indicvoices_rows.json,row:nepali:940,36466b892c5f2f97113e65e3bdf2190377844d56d374292cc2a781c21cb31481
6621,ne,formal_written_sentence,wikipedia_sentence,w51026,,179,100-199,ne,ne,Nepali,Nepali,true,true,npi_Deva,false,wikipedia_ne_extracts.json,doc:239:sentence:13,e73ec02fa744f47e6e2dc5f7170ce9a1de220dcf3cc1747a06ba471f62368ce5
5532,hi,extempore,indicvoices,S4259241600355788,Bihar,241,200-399,hi,hi,Hindi,,true,false,hin_Deva,false,indicvoices_rows.json,row:hindi:765,225004a8b539dd4f07b65121740f40239c4c8be0296804589584c2e679d33d13
1734,ne,read_speech_fleurs,fleurs,f1934ne,,116,100-199,ne,hi,Nepali,,true,false,npi_Deva,false,fleurs_ne_transcripts.json,doc:455,7a1f2f54942e3701afb84d94fb00f60bd5eb20dae07359ebba480854fe0f99d1
5965,hi,conversation,indicvoices,S4259161200398412,Uttar Pradesh,177,100-199,hi,hi,Hindi,Hindi,true,true,hin_Deva,false,indicvoices_rows.json,row:hindi:1198,e3bb1e092e24f8e56eb172bd172683ab85cd15b90447b676393047befb96e7b2
2340,hi,read_speech_fleurs,fleurs,f1532hi,,150,100-199,hi,hi,Hindi,Hindi,true,true,hin_Deva,false,fleurs_hi_transcripts.json,doc:30,746372caa6f310cc44b3e3036a7cb51e9723cdcabc8703051a0494a0b812ba8d
3969,ne,read_speech_iv,indicvoices,S4257743300347971,West Bengal,96,40-99,ne,hi,Nepali,n,true,false,anp_Deva,false,indicvoices_rows.json,row:nepali:1002,e93728559c3e8eef826f80f965051de1cf8de95ea0cd8cf5db8d4d22ab4e80a2
3211,ne,read_speech_iv,indicvoices,S4257383800368208,Assam,140,100-199,ne,ne,Nepali,,true,false,npi_Deva,false,indicvoices_rows.json,row:nepali:244,99f02d1088c17d925f2892f151689d0a959a02d544017acba2c1e10b95e1c470
3139,ne,read_speech_iv,indicvoices,S4259898600383193,West Bengal,131,100-199,ne,ne,Nepali,,true,false,npi_Deva,false,indicvoices_rows.json,row:nepali:172,684f885ec69da0ac421d888080db341a5118f33504e8b64fe683e9beb8a696b9
4944,hi,extempore,indicvoices,S4259746100397283,Madhya Pradesh,266,200-399,hi,hi,Hindi,Hindi,true,true,hin_Deva,false,indicvoices_rows.json,row:hindi:177,82bed9b1c2945e477bcbf5d3b552e5542a33459c385eefaae60ca5bf25a06f8a
2140,ne,read_speech_fleurs,fleurs,f1887ne,,95,40-99,ne,ne,Nepali,,true,false,npi_Deva,false,fleurs_ne_transcripts.json,doc:861,dcdd1a5894147c8f60cba7fac76f0236dea940b260561cb41e8d4e30b1dd0d8b
4729,ne,conversation,indicvoices,S4259358600382389,West Bengal,115,100-199,ne,ne,Nepali,Nepali,true,true,npi_Deva,false,indicvoices_rows.json,row:nepali:1762,1fafc98b85d48941df36a60f251598c9ae1c0a766dd044c2b551593b0a383dca
895,hi,formal_written,wikipedia,w399918,,84,40-99,hi,hi,Hindi,Hindi,true,true,hin_Deva,false,wikipedia_hi_extracts.json,doc:242,c1a5ef51ee019922aad8da39459a46b953d6117c5d77a28bf58a271affd7fb12
3526,ne,extempore,indicvoices,S4259055300302087,West Bengal,127,100-199,ne,ne,Nepali,,true,false,npi_Deva,false,indicvoices_rows.json,row:nepali:559,341d4dd5df991bb5c4a54a263008a027114e9864ff940524dc776749ac98bc4a
6921,ne,formal_written_sentence,wikipedia_sentence,w32804,,93,40-99,ne,hi,Nepali,Nepali,true,true,npi_Deva,false,wikipedia_ne_extracts.json,doc:187:sentence:3,692a662ea7fc0a724f2d804c3aecb50908844669bb48c67ac99a168c12173622
7380,hi,formal_written_sentence,wikipedia_sentence,w384630,,123,100-199,hi,hi,Hindi,,true,false,hin_Deva,false,wikipedia_hi_extracts.json,doc:237:sentence:4,4020ef594c9adf870dc58289fb5cc159177a94449bead39968df5e9d1dfc9d81
2773,hi,read_speech_fleurs,fleurs,f1765hi,,109,100-199,hi,hi,Hindi,Hindi,true,true,hin_Deva,false,fleurs_hi_transcripts.json,doc:463,cb957800bf602f39d29d0637e08551a8eea1e74b13cb002d96a7605cedf17b1b
6948,ne,formal_written_sentence,wikipedia_sentence,w6084,,72,40-99,ne,ne,Nepali,,true,false,npi_Deva,false,wikipedia_ne_extracts.json,doc:20:sentence:7,09a1371a7cc36db08f1d2d632d6fa2f845edbb31562af72788c2f35e098f9ffa
7137,ne,formal_written_sentence,wikipedia_sentence,w97535,,166,100-199,ne,ne,Nepali,,true,false,npi_Deva,false,wikipedia_ne_extracts.json,doc:418:sentence:16,4558a58718f509b3e2af8f60ccb242cfe4128018c725493ddd2dd8428d89b18c
5314,hi,conversation,indicvoices,S4258816400392708,Madhya Pradesh,208,200-399,hi,hi,Hindi,Hindi,true,true,hin_Deva,false,indicvoices_rows.json,row:hindi:547,51bdc29ee0a6332b8858cad3f0ca2d8fdd011e2bbfd5f63c66ffe93d1b51485c
3420,ne,extempore,indicvoices,S4259519100384349,Assam,172,100-199,ne,ne,Nepali,,true,false,npi_Deva,false,indicvoices_rows.json,row:nepali:453,bc718755d9f2cfcc558370958ea3dfb9ff2ec29649fbbaedd0ec665b21d6f07c
6528,hi,read_speech_iv,indicvoices,S4258608000394368,Madhya Pradesh,45,40-99,hi,hi,Hindi,,true,false,hin_Deva,false,indicvoices_rows.json,row:hindi:1761,6d9e98d27a8e5f46b81f21de02128e8916bb94daa5bb0e3c76f4aa6e6910ecd0
3011,ne,extempore,indicvoices,S4258704300386782,Assam,135,100-199,ne,ne,Nepali,Nepali,true,true,npi_Deva,false,indicvoices_rows.json,row:nepali:44,3096d40a38cf63c87a1ad0c6596e993d7b4854ee25217c33db1faa2fe10f581a
2104,ne,read_speech_fleurs,fleurs,f1669ne,,99,40-99,ne,ne,Nepali,Nepali,true,true,npi_Deva,false,fleurs_ne_transcripts.json,doc:824,0d9a6d0d06cd468922113dff29093f9f1465f9dee9842ce3ac10feb309d771d6
600,ne,formal_written,wikipedia,w143699,,257,200-399,ne,ne,Nepali,,true,false,npi_Deva,false,wikipedia_ne_extracts.json,doc:609,a8abe4e582e2f059e48c2e63ffaca535b5849fb5d031f2f7b1a5421f09a5a68a
6358,hi,read_speech_iv,indicvoices,S4258635300390001,Uttar Pradesh,136,100-199,hi,hi,Hindi,,true,false,hin_Deva,false,indicvoices_rows.json,row:hindi:1591,94a915404b4c90a9367607a573f3752c50d54659da053b073008150c6674e514
4262,ne,read_speech_iv,indicvoices,S4258045700390584,West Bengal,121,100-199,ne,ne,Nepali,Hindi,true,false,npi_Deva,false,indicvoices_rows.json,row:nepali:1295,a81a722dd76ef6587c7c479b398c6197a4cce23d207486f777347ab5a65456c8
5087,hi,extempore,indicvoices,S4259312900336902,Uttar Pradesh,118,100-199,hi,hi,Hindi,,true,false,hin_Deva,false,indicvoices_rows.json,row:hindi:320,fdb3aefada08cbb0f0b278f78fb4ad5c8e058ec33f73b376c33385342aa8ba9e
4298,ne,read_speech_iv,indicvoices,S4257799100369302,West Bengal,45,40-99,ne,ne,Nepali,Nepali,true,true,npi_Deva,false,indicvoices_rows.json,row:nepali:1331,b1288e0e8831dbdcc860904a9e9383ddcc7cfcf2f1be27f32145b5c592fa9ad3
7374,hi,formal_written_sentence,wikipedia_sentence,w384630,,66,40-99,hi,mr,Hindi,,true,false,anp_Deva,false,wikipedia_hi_extracts.json,doc:237:sentence:3,003e5daeace3798edbf91d36dcc2837e7069f57259c5ecd6214e2bb274bf2a3c
4571,ne,conversation,indicvoices,S4259747200369569,West Bengal,240,200-399,ne,ne,Nepali,,true,false,npi_Deva,false,indicvoices_rows.json,row:nepali:1604,13690c9d4b2d9aac53b23ebcfc1831dbf53fba887dc3ee5b4362c8671b150474
5462,hi,read_speech_iv,indicvoices,S4258558000397595,Uttar Pradesh,179,100-199,hi,hi,Hindi,Hindi,true,true,hin_Deva,false,indicvoices_rows.json,row:hindi:695,e33538af079f2acbe4cf0f392fdd427229c0901c314d71d4b597d4077d03cbac
5293,hi,extempore,indicvoices,S4259306700361366,Bihar,251,200-399,hi,hi,Hindi,,true,false,hin_Deva,false,indicvoices_rows.json,row:hindi:526,65c89751f42c2b0346d50fb654979408d4c60f2771e650d213cfbf3e9471c8da
3826,ne,extempore,indicvoices,S4259078900380821,West Bengal,148,100-199,ne,ne,Nepali,,true,false,npi_Deva,false,indicvoices_rows.json,row:nepali:859,5cdad080ccb17423f066d75f7c83fddf30f85c37a265439155ed66c83ddc07d4
1385,ne,read_speech_fleurs,fleurs,f1637ne,,255,200-399,ne,hi,Nepali,Both or code-switched,true,false,npi_Deva,false,fleurs_ne_transcripts.json,doc:102,8725eb5c9404d032d098c3690cb5314733c4d7bf0d458cbf876ef97c1979de3c
2850,hi,read_speech_fleurs,fleurs,f1953hi,,78,40-99,hi,hi,Hindi,,true,false,anp_Deva,false,fleurs_hi_transcripts.json,doc:540,3df1e57bc2260f5d0bc92d873d6c63c6192b02ebd2c433c0ab3240cd8740162e
5682,hi,extempore,indicvoices,S4258798800383835,Bihar,117,100-199,hi,hi,Hindi,,true,false,hin_Deva,false,indicvoices_rows.json,row:hindi:915,f2044f1ef688b04ab4562bca792660798997f20e19a922b20bafcafad910bba2
4271,ne,read_speech_iv,indicvoices,S4257783100382821,West Bengal,112,100-199,ne,ne,Nepali,Nepali,true,true,npi_Deva,false,indicvoices_rows.json,row:nepali:1304,80246641754ed50a16d58ea77ecbc985736ceefed9797261c9b353ff461988df
1355,ne,read_speech_fleurs,fleurs,f1530ne,,95,40-99,ne,ne,Nepali,,true,false,npi_Deva,false,fleurs_ne_transcripts.json,doc:73,72d8233a0c8b4fac015f647889a42ad0b7f0d5f387935d217515373c979fe8e9
6741,ne,formal_written_sentence,wikipedia_sentence,w32833,,152,100-199,mr,mr,Nepali,Nepali,true,true,npi_Deva,false,wikipedia_ne_extracts.json,doc:189:sentence:0,9f668b94e9ad0d15e8f16de85e85e55912f3d28d9324e041de76b4519efc6cc8
7518,hi,formal_written_sentence,wikipedia_sentence,w1327700,,65,40-99,hi,mr,Hindi,,true,false,hin_Deva,false,wikipedia_hi_extracts.json,doc:504:sentence:1,5300b56c8dec4b861c0d97c85c1aa8d0b63a48f43b3c3ea9b299764f8621d454
